date,company,title,location,comp_count,loc_count,title_count,comp_loc,title_comp_loc
2021-09-27,Anheuser-Busch InBev,Data Scientist,"Bengaluru, Karnataka, India",10,10,163,"Anheuser-Busch InBev - Bengaluru, Karnataka, India","Data Scientist - Anheuser-Busch InBev - Bengaluru, Karnataka, India"
2021-09-28,Mindtree,Machine Learning Engineer,"Bengaluru, Karnataka, India",4,4,44,"Mindtree - Bengaluru, Karnataka, India","Machine Learning Engineer - Mindtree - Bengaluru, Karnataka, India"
2021-09-29,JPMorgan Chase & Co.,Data Scientist,"Hyderabad, Telangana, India",52,52,163,"JPMorgan Chase & Co. - Hyderabad, Telangana, India","Data Scientist - JPMorgan Chase & Co. - Hyderabad, Telangana, India"
2021-09-28,Anheuser-Busch InBev,Associate Data Scientist – Analytics,"Bengaluru, Karnataka, India",10,10,3,"Anheuser-Busch InBev - Bengaluru, Karnataka, India","Associate Data Scientist – Analytics - Anheuser-Busch InBev - Bengaluru, Karnataka, India"
2021-09-27,Gojek,Data Scientist 2,"Bengaluru, Karnataka, India",18,18,1,"Gojek - Bengaluru, Karnataka, India","Data Scientist 2 - Gojek - Bengaluru, Karnataka, India"
2021-09-22,GE Aviation,Data Scientist,"Bengaluru, Karnataka, India",2,2,163,"GE Aviation - Bengaluru, Karnataka, India","Data Scientist - GE Aviation - Bengaluru, Karnataka, India"
2021-09-28,Discite Analytics,Data Scientist,"Bengaluru, Karnataka, India",3,3,163,"Discite Analytics - Bengaluru, Karnataka, India","Data Scientist - Discite Analytics - Bengaluru, Karnataka, India"
2021-09-27,Anheuser-Busch InBev,Data Scientist - Analytics,"Bengaluru, Karnataka, India",10,10,3,"Anheuser-Busch InBev - Bengaluru, Karnataka, India","Data Scientist - Analytics - Anheuser-Busch InBev - Bengaluru, Karnataka, India"
2021-09-29,Confidential,Data Scientist,"Bengaluru, Karnataka, India",9,9,163,"Confidential - Bengaluru, Karnataka, India","Data Scientist - Confidential - Bengaluru, Karnataka, India"
2021-09-16,Oracle,Data Scientist 4,"Bengaluru, Karnataka, India",29,29,4,"Oracle - Bengaluru, Karnataka, India","Data Scientist 4 - Oracle - Bengaluru, Karnataka, India"
2021-09-08,Oracle,Data Scientist 3,"Bengaluru, Karnataka, India",29,29,2,"Oracle - Bengaluru, Karnataka, India","Data Scientist 3 - Oracle - Bengaluru, Karnataka, India"
2021-09-27,Anheuser-Busch InBev,Associate Data Scientist – Analytics,"Bengaluru, Karnataka, India",10,10,3,"Anheuser-Busch InBev - Bengaluru, Karnataka, India","Associate Data Scientist – Analytics - Anheuser-Busch InBev - Bengaluru, Karnataka, India"
2021-09-23,A-Lab,Data Scientist,India,1,1,163,A-Lab - India,Data Scientist - A-Lab - India
2021-09-27,Walmart Global Tech India,Staff Data Scientist,"Bengaluru, Karnataka, India",21,21,2,"Walmart Global Tech India - Bengaluru, Karnataka, India","Staff Data Scientist - Walmart Global Tech India - Bengaluru, Karnataka, India"
2021-09-24,PwC Acceleration Centers,Finance Data Scientist - Associate,"Bengaluru, Karnataka, India",4,4,1,"PwC Acceleration Centers - Bengaluru, Karnataka, India","Finance Data Scientist - Associate - PwC Acceleration Centers - Bengaluru, Karnataka, India"
2021-09-28,Cloudpoint Technologies Pvt. Ltd.,Data Scientist,"Mumbai, Maharashtra, India",1,1,163,"Cloudpoint Technologies Pvt. Ltd. - Mumbai, Maharashtra, India","Data Scientist - Cloudpoint Technologies Pvt. Ltd. - Mumbai, Maharashtra, India"
2021-09-28,Thoucentric,Data Scientist,"Bengaluru, Karnataka, India",4,4,163,"Thoucentric - Bengaluru, Karnataka, India","Data Scientist - Thoucentric - Bengaluru, Karnataka, India"
2021-09-27,Indventur Partners,Data Scientist,"Gurugram, Haryana, India",1,1,163,"Indventur Partners - Gurugram, Haryana, India","Data Scientist - Indventur Partners - Gurugram, Haryana, India"
2021-09-22,Gojek,Data Scientist - Demand Generation,"Bengaluru, Karnataka, India",18,18,1,"Gojek - Bengaluru, Karnataka, India","Data Scientist - Demand Generation - Gojek - Bengaluru, Karnataka, India"
2021-09-20,CES,Data Scientist,"Chennai, Tamil Nadu, India",1,1,163,"CES - Chennai, Tamil Nadu, India","Data Scientist - CES - Chennai, Tamil Nadu, India"
2021-09-22,EXL,Data Scientist,"Bengaluru, Karnataka, India",1,1,163,"EXL - Bengaluru, Karnataka, India","Data Scientist - EXL - Bengaluru, Karnataka, India"
2021-09-29,MSCI Inc.,Data Scientist - Data Technology,"Mumbai, Maharashtra, India",2,2,2,"MSCI Inc. - Mumbai, Maharashtra, India","Data Scientist - Data Technology - MSCI Inc. - Mumbai, Maharashtra, India"
2021-09-08,Fractal,Data Scientist,"Mumbai, Maharashtra, India",7,7,163,"Fractal - Mumbai, Maharashtra, India","Data Scientist - Fractal - Mumbai, Maharashtra, India"
2021-09-14,Anheuser-Busch InBev,Data Scientist,"Bengaluru, Karnataka, India",10,10,163,"Anheuser-Busch InBev - Bengaluru, Karnataka, India","Data Scientist - Anheuser-Busch InBev - Bengaluru, Karnataka, India"
2021-09-23,United Airlines,Analyst - Data Scientist,"Gurugram, Haryana, India",3,3,1,"United Airlines - Gurugram, Haryana, India","Analyst - Data Scientist - United Airlines - Gurugram, Haryana, India"
2021-09-15,Anheuser-Busch InBev,Data Scientist - Analytics,"Bengaluru, Karnataka, India",10,10,3,"Anheuser-Busch InBev - Bengaluru, Karnataka, India","Data Scientist - Analytics - Anheuser-Busch InBev - Bengaluru, Karnataka, India"
2021-09-28,Anheuser-Busch InBev,Associate Data Scientist,"Bengaluru, Karnataka, India",10,10,2,"Anheuser-Busch InBev - Bengaluru, Karnataka, India","Associate Data Scientist - Anheuser-Busch InBev - Bengaluru, Karnataka, India"
2021-09-14,EY,Data Scientist with NLP,"Bengaluru, Karnataka, India",5,5,1,"EY - Bengaluru, Karnataka, India","Data Scientist with NLP - EY - Bengaluru, Karnataka, India"
2021-09-15,Prediction Machine LLC,Data Scientist,India,1,1,163,Prediction Machine LLC - India,Data Scientist - Prediction Machine LLC - India
2021-09-16,Accenture AI,Data Scientist,"Hyderabad, Telangana, India",1,1,163,"Accenture AI - Hyderabad, Telangana, India","Data Scientist - Accenture AI - Hyderabad, Telangana, India"
2021-09-28,Self-employed,Data Scientist,"Noida, Uttar Pradesh, India",2,2,163,"Self-employed - Noida, Uttar Pradesh, India","Data Scientist - Self-employed - Noida, Uttar Pradesh, India"
2021-08-30,Oracle,Data Scientist 3,"Hyderabad, Telangana, India",29,29,2,"Oracle - Hyderabad, Telangana, India","Data Scientist 3 - Oracle - Hyderabad, Telangana, India"
2021-08-30,Oracle,Data Scientist 4,"Hyderabad, Telangana, India",29,29,4,"Oracle - Hyderabad, Telangana, India","Data Scientist 4 - Oracle - Hyderabad, Telangana, India"
2021-09-28,RiverForest Connections LLC.,Data Scientist,"Mumbai, Maharashtra, India",1,1,163,"RiverForest Connections LLC. - Mumbai, Maharashtra, India","Data Scientist - RiverForest Connections LLC. - Mumbai, Maharashtra, India"
2021-09-01,Honeywell,Advanced Data Scientist,"Hyderabad, Telangana, India",24,24,2,"Honeywell - Hyderabad, Telangana, India","Advanced Data Scientist - Honeywell - Hyderabad, Telangana, India"
2021-09-04,Oracle,Data Scientist 4,"Bengaluru, Karnataka, India",29,29,4,"Oracle - Bengaluru, Karnataka, India","Data Scientist 4 - Oracle - Bengaluru, Karnataka, India"
2021-09-29,Serendipity Corporate Services,Data Scientist,"Pune, Maharashtra, India",1,1,163,"Serendipity Corporate Services - Pune, Maharashtra, India","Data Scientist - Serendipity Corporate Services - Pune, Maharashtra, India"
2021-09-22,Pyxis One,Data Scientist,"Bengaluru, Karnataka, India",1,1,163,"Pyxis One - Bengaluru, Karnataka, India","Data Scientist - Pyxis One - Bengaluru, Karnataka, India"
2021-09-29,Kyndryl,Data Scientist,"Hyderabad, Telangana, India",13,13,163,"Kyndryl - Hyderabad, Telangana, India","Data Scientist - Kyndryl - Hyderabad, Telangana, India"
2021-09-17,DeepView,Data Scientist,India,1,1,163,DeepView - India,Data Scientist - DeepView - India
2021-09-21,Michelin,Data Scientist,"Pune, Maharashtra, India",3,3,163,"Michelin - Pune, Maharashtra, India","Data Scientist - Michelin - Pune, Maharashtra, India"
2021-09-26,HelloSivi Software Labs,Data Scientist,"Bengaluru, Karnataka, India",1,1,163,"HelloSivi Software Labs - Bengaluru, Karnataka, India","Data Scientist - HelloSivi Software Labs - Bengaluru, Karnataka, India"
2021-09-17,Gojek,Data Scientist - GoFood,"Bengaluru, Karnataka, India",18,18,1,"Gojek - Bengaluru, Karnataka, India","Data Scientist - GoFood - Gojek - Bengaluru, Karnataka, India"
2021-09-06,Bayer,Associate Data Scientist,"Bengaluru, Karnataka, India",3,3,2,"Bayer - Bengaluru, Karnataka, India","Associate Data Scientist - Bayer - Bengaluru, Karnataka, India"
2021-09-28,Shubham Housing Development Finance Company,Data Scientist,"Gurugram, Haryana, India",1,1,163,"Shubham Housing Development Finance Company - Gurugram, Haryana, India","Data Scientist - Shubham Housing Development Finance Company - Gurugram, Haryana, India"
2021-09-20,Zycus,Data Scientist,"Bengaluru, Karnataka, India",1,1,163,"Zycus - Bengaluru, Karnataka, India","Data Scientist - Zycus - Bengaluru, Karnataka, India"
2021-09-22,Optum,Data Scientist - Gurgaon/Noida,"Noida, Uttar Pradesh, India",8,8,1,"Optum - Noida, Uttar Pradesh, India","Data Scientist - Gurgaon/Noida - Optum - Noida, Uttar Pradesh, India"
2021-09-24,dunnhumby,Applied Data Scientist,"Aonla, Uttar Pradesh, India",2,2,1,"dunnhumby - Aonla, Uttar Pradesh, India","Applied Data Scientist - dunnhumby - Aonla, Uttar Pradesh, India"
2021-09-23,Noodle.ai,Data Scientist,"Bengaluru, Karnataka, India",2,2,163,"Noodle.ai - Bengaluru, Karnataka, India","Data Scientist - Noodle.ai - Bengaluru, Karnataka, India"
2021-09-16,Maple Tech Space,Data Scientist,"Kerala, India",1,1,163,"Maple Tech Space - Kerala, India","Data Scientist - Maple Tech Space - Kerala, India"
2021-09-29,Kyndryl,Data Scientist,"Bengaluru, Karnataka, India",13,13,163,"Kyndryl - Bengaluru, Karnataka, India","Data Scientist - Kyndryl - Bengaluru, Karnataka, India"
2021-09-28,Sapio Analytics,Data Scientist at Lucknow - Sapio Analytics,"Lucknow, Uttar Pradesh, India",1,1,1,"Sapio Analytics - Lucknow, Uttar Pradesh, India","Data Scientist at Lucknow - Sapio Analytics - Sapio Analytics - Lucknow, Uttar Pradesh, India"
2021-09-28,XITADEL CAE TECHNOLOGIES INDIA PRIVATE LIMITED,Data Scientist,"Bengaluru, Karnataka, India",1,1,163,"XITADEL CAE TECHNOLOGIES INDIA PRIVATE LIMITED - Bengaluru, Karnataka, India","Data Scientist - XITADEL CAE TECHNOLOGIES INDIA PRIVATE LIMITED - Bengaluru, Karnataka, India"
2021-09-20,Honeywell,Data Scientist II,"Hyderabad, Telangana, India",24,24,1,"Honeywell - Hyderabad, Telangana, India","Data Scientist II - Honeywell - Hyderabad, Telangana, India"
2021-09-15,Eli Lilly and Company,Data Scientist - Consumer Analytics,"Bengaluru, Karnataka, India",6,6,1,"Eli Lilly and Company - Bengaluru, Karnataka, India","Data Scientist - Consumer Analytics - Eli Lilly and Company - Bengaluru, Karnataka, India"
2021-09-24,Dilaton,Data Scientist,"Gurugram, Haryana, India",1,1,163,"Dilaton - Gurugram, Haryana, India","Data Scientist - Dilaton - Gurugram, Haryana, India"
2021-09-29,Dynapt.ai,Machine Learning Engineer,"Bengaluru, Karnataka, India",3,3,44,"Dynapt.ai - Bengaluru, Karnataka, India","Machine Learning Engineer - Dynapt.ai - Bengaluru, Karnataka, India"
2021-09-28,Medline India,Data Scientist - BI,"Pune, Maharashtra, India",2,2,1,"Medline India - Pune, Maharashtra, India","Data Scientist - BI - Medline India - Pune, Maharashtra, India"
2021-09-26,Optimum Data Analytics,Data Scientist,"Pune, Maharashtra, India",1,1,163,"Optimum Data Analytics - Pune, Maharashtra, India","Data Scientist - Optimum Data Analytics - Pune, Maharashtra, India"
2021-09-24,Commonwealth Bank,REQ142459 Data Scientist,"Bengaluru, Karnataka, India",6,6,1,"Commonwealth Bank - Bengaluru, Karnataka, India","REQ142459 Data Scientist - Commonwealth Bank - Bengaluru, Karnataka, India"
2021-09-23,Siemens Gamesa,Data Scientist,"Bengaluru, Karnataka, India",5,5,163,"Siemens Gamesa - Bengaluru, Karnataka, India","Data Scientist - Siemens Gamesa - Bengaluru, Karnataka, India"
2021-09-07,Honeywell,Advanced Data Scientist,"Bengaluru, Karnataka, India",24,24,2,"Honeywell - Bengaluru, Karnataka, India","Advanced Data Scientist - Honeywell - Bengaluru, Karnataka, India"
2021-09-11,Tiger Analytics,Data Scientist - B,"Bengaluru, Karnataka, India",5,5,1,"Tiger Analytics - Bengaluru, Karnataka, India","Data Scientist - B - Tiger Analytics - Bengaluru, Karnataka, India"
2021-09-14,insciter,Data Scientist,"Bengaluru, Karnataka, India",2,2,163,"insciter - Bengaluru, Karnataka, India","Data Scientist - insciter - Bengaluru, Karnataka, India"
2021-09-23,G2,Data Scientist,"Bengaluru, Karnataka, India",1,1,163,"G2 - Bengaluru, Karnataka, India","Data Scientist - G2 - Bengaluru, Karnataka, India"
2021-09-28,Akira AI,Machine Learning Engineer,"Chandigarh, Chandigarh, India",1,1,44,"Akira AI - Chandigarh, Chandigarh, India","Machine Learning Engineer - Akira AI - Chandigarh, Chandigarh, India"
2021-09-29,LegalAI,Machine Learning Engineer,India,1,1,44,LegalAI - India,Machine Learning Engineer - LegalAI - India
2021-08-30,Oracle,Machine Learning Engineer,"Bengaluru, Karnataka, India",29,29,44,"Oracle - Bengaluru, Karnataka, India","Machine Learning Engineer - Oracle - Bengaluru, Karnataka, India"
2021-09-21,Antares,Data Scientist,"Chennai, Tamil Nadu, India",1,1,163,"Antares - Chennai, Tamil Nadu, India","Data Scientist - Antares - Chennai, Tamil Nadu, India"
2021-09-08,EXL INDIA,Machine Learning Engineer,"Bengaluru, Karnataka, India",1,1,44,"EXL INDIA - Bengaluru, Karnataka, India","Machine Learning Engineer - EXL INDIA - Bengaluru, Karnataka, India"
2021-08-31,CreditVidya,Data Scientist,"Hyderabad, Telangana, India",1,1,163,"CreditVidya - Hyderabad, Telangana, India","Data Scientist - CreditVidya - Hyderabad, Telangana, India"
2021-09-19,Stuhire,Data Scientist,"Hyderabad, Telangana, India",1,1,163,"Stuhire - Hyderabad, Telangana, India","Data Scientist - Stuhire - Hyderabad, Telangana, India"
2021-09-14,Algoscale,Data Scientist,"Noida, Uttar Pradesh, India",2,2,163,"Algoscale - Noida, Uttar Pradesh, India","Data Scientist - Algoscale - Noida, Uttar Pradesh, India"
2021-09-16,Directi,Data Scientist,"Mumbai, Maharashtra, India",1,1,163,"Directi - Mumbai, Maharashtra, India","Data Scientist - Directi - Mumbai, Maharashtra, India"
2021-09-18,Walmart Global Tech India,Principal Data Scientist,"Bengaluru, Karnataka, India",21,21,7,"Walmart Global Tech India - Bengaluru, Karnataka, India","Principal Data Scientist - Walmart Global Tech India - Bengaluru, Karnataka, India"
2021-09-27,D&B Technologies & Data Services,Data Scientist,"Chennai, Tamil Nadu, India",1,1,163,"D&B Technologies & Data Services - Chennai, Tamil Nadu, India","Data Scientist - D&B Technologies & Data Services - Chennai, Tamil Nadu, India"
2021-09-28,SiCureMi Healthcare Technologies Pvt. Ltd.,Data Scientist,"Delhi, India",1,1,163,"SiCureMi Healthcare Technologies Pvt. Ltd. - Delhi, India","Data Scientist - SiCureMi Healthcare Technologies Pvt. Ltd. - Delhi, India"
2021-09-14,Human Edge (Enterprises),Data Scientist,India,1,1,163,Human Edge (Enterprises) - India,Data Scientist - Human Edge (Enterprises) - India
2021-09-02,Propellor.ai,Data Scientist,"Pune, Maharashtra, India",1,1,163,"Propellor.ai - Pune, Maharashtra, India","Data Scientist - Propellor.ai - Pune, Maharashtra, India"
2021-09-21,Let The Data Confess Pvt Ltd,Data Scientist,India,1,1,163,Let The Data Confess Pvt Ltd - India,Data Scientist - Let The Data Confess Pvt Ltd - India
2021-09-01,Analytos,Junior Data Scientist,"Hyderabad, Telangana, India",21,21,5,"Analytos - Hyderabad, Telangana, India","Junior Data Scientist - Analytos - Hyderabad, Telangana, India"
2021-09-14,Acies,Data Scientist,"Chennai, Tamil Nadu, India",1,1,163,"Acies - Chennai, Tamil Nadu, India","Data Scientist - Acies - Chennai, Tamil Nadu, India"
2021-09-03,Fleek,Data Scientist,"Bengaluru, Karnataka, India",2,2,163,"Fleek - Bengaluru, Karnataka, India","Data Scientist - Fleek - Bengaluru, Karnataka, India"
2021-09-04,UST,Data Scientist I,"Pune, Maharashtra, India",14,14,2,"UST - Pune, Maharashtra, India","Data Scientist I - UST - Pune, Maharashtra, India"
2021-09-17,Gojek,Data Scientist - Driver Platform,"Bengaluru, Karnataka, India",18,18,1,"Gojek - Bengaluru, Karnataka, India","Data Scientist - Driver Platform - Gojek - Bengaluru, Karnataka, India"
2021-09-17,Swiggy,Senior Data Scientist- Statistics & Experimentation,"Bengaluru, Karnataka, India",3,3,1,"Swiggy - Bengaluru, Karnataka, India","Senior Data Scientist- Statistics & Experimentation - Swiggy - Bengaluru, Karnataka, India"
2021-09-01,Analytos,Junior Data Scientist,"Bengaluru, Karnataka, India",21,21,5,"Analytos - Bengaluru, Karnataka, India","Junior Data Scientist - Analytos - Bengaluru, Karnataka, India"
2021-09-27,Walmart Global Tech India,Principal Data Scientist,"Bengaluru, Karnataka, India",21,21,7,"Walmart Global Tech India - Bengaluru, Karnataka, India","Principal Data Scientist - Walmart Global Tech India - Bengaluru, Karnataka, India"
2021-09-28,Cognozire,Machine Learning Engineer,India,1,1,44,Cognozire - India,Machine Learning Engineer - Cognozire - India
2021-09-01,Analytos,Junior Data Scientist,"Mumbai, Maharashtra, India",21,21,5,"Analytos - Mumbai, Maharashtra, India","Junior Data Scientist - Analytos - Mumbai, Maharashtra, India"
2021-09-12,ARNOWA,Data Scientist,"Delhi, India",1,1,163,"ARNOWA - Delhi, India","Data Scientist - ARNOWA - Delhi, India"
2021-09-02,Collaboratorz Technologies,Data Scientist,"Pune, Maharashtra, India",1,1,163,"Collaboratorz Technologies - Pune, Maharashtra, India","Data Scientist - Collaboratorz Technologies - Pune, Maharashtra, India"
2021-09-08,.Kreate,Data Scientist,"Ghaziabad, Uttar Pradesh, India",3,3,163,".Kreate - Ghaziabad, Uttar Pradesh, India","Data Scientist - .Kreate - Ghaziabad, Uttar Pradesh, India"
2021-09-24,MSCI Inc.,Data Scientist - Data Technology,"Mumbai, Maharashtra, India",2,2,2,"MSCI Inc. - Mumbai, Maharashtra, India","Data Scientist - Data Technology - MSCI Inc. - Mumbai, Maharashtra, India"
2021-09-15,STL - Sterlite Technologies Limited,Data Scientist I,"Pune, Maharashtra, India",1,1,2,"STL - Sterlite Technologies Limited - Pune, Maharashtra, India","Data Scientist I - STL - Sterlite Technologies Limited - Pune, Maharashtra, India"
2021-09-13,Datahub Technologies R&D PVT LTD,Data Scientist,"Delhi, India",1,1,163,"Datahub Technologies R&D PVT LTD - Delhi, India","Data Scientist - Datahub Technologies R&D PVT LTD - Delhi, India"
2021-09-29,FilterPixel,Machine Learning Engineer,"Noida, Uttar Pradesh, India",1,1,44,"FilterPixel - Noida, Uttar Pradesh, India","Machine Learning Engineer - FilterPixel - Noida, Uttar Pradesh, India"
2021-09-25,Aditsh Software Pvt Ltd,Data Scientist,"Noida, Uttar Pradesh, India",1,1,163,"Aditsh Software Pvt Ltd - Noida, Uttar Pradesh, India","Data Scientist - Aditsh Software Pvt Ltd - Noida, Uttar Pradesh, India"
2021-09-02,Green Tiger Mobility Pvt. Ltd.,Data Scientist,"Bengaluru, Karnataka, India",1,1,163,"Green Tiger Mobility Pvt. Ltd. - Bengaluru, Karnataka, India","Data Scientist - Green Tiger Mobility Pvt. Ltd. - Bengaluru, Karnataka, India"
2021-09-16,CogniTensor,Data Scientist,"Noida, Uttar Pradesh, India",1,1,163,"CogniTensor - Noida, Uttar Pradesh, India","Data Scientist - CogniTensor - Noida, Uttar Pradesh, India"
2021-09-28,Pegasystems,Data Scientist,"Bengaluru, Karnataka, India",1,1,163,"Pegasystems - Bengaluru, Karnataka, India","Data Scientist - Pegasystems - Bengaluru, Karnataka, India"
2021-09-15,Infosys - DNA,Data Science Specialist,"Bengaluru, Karnataka, India",1,1,4,"Infosys - DNA - Bengaluru, Karnataka, India","Data Science Specialist - Infosys - DNA - Bengaluru, Karnataka, India"
2021-09-15,EVRY India,Jr Data scientist,"Bengaluru, Karnataka, India",2,2,1,"EVRY India - Bengaluru, Karnataka, India","Jr Data scientist - EVRY India - Bengaluru, Karnataka, India"
2021-09-19,WorkGeek Services,Data Scientist,"Gurugram, Haryana, India",1,1,163,"WorkGeek Services - Gurugram, Haryana, India","Data Scientist - WorkGeek Services - Gurugram, Haryana, India"
2021-09-04,CommerceIQ,Data Scientist,"Bengaluru, Karnataka, India",1,1,163,"CommerceIQ - Bengaluru, Karnataka, India","Data Scientist - CommerceIQ - Bengaluru, Karnataka, India"
2021-09-01,Analytos,Junior Data Scientist,"Chennai, Tamil Nadu, India",21,21,5,"Analytos - Chennai, Tamil Nadu, India","Junior Data Scientist - Analytos - Chennai, Tamil Nadu, India"
2021-09-09,Kyndryl,Data Scientist and Analytics,"Bengaluru, Karnataka, India",13,13,1,"Kyndryl - Bengaluru, Karnataka, India","Data Scientist and Analytics - Kyndryl - Bengaluru, Karnataka, India"
2021-09-23,Spyne,Machine Learning Engineer,"Gurugram, Haryana, India",1,1,44,"Spyne - Gurugram, Haryana, India","Machine Learning Engineer - Spyne - Gurugram, Haryana, India"
2021-09-02,AIML Analytics Solutions Pvt Ltd (OpenDataFabric),Data Scientist,"Bengaluru, Karnataka, India",1,1,163,"AIML Analytics Solutions Pvt Ltd (OpenDataFabric) - Bengaluru, Karnataka, India","Data Scientist - AIML Analytics Solutions Pvt Ltd (OpenDataFabric) - Bengaluru, Karnataka, India"
2021-09-11,M-orepheus,Data Scientist,"Bengaluru, Karnataka, India",1,1,163,"M-orepheus - Bengaluru, Karnataka, India","Data Scientist - M-orepheus - Bengaluru, Karnataka, India"
2021-09-13,Samasra Soft Inc,Data Scientist,"Tirupati, Andhra Pradesh, India",1,1,163,"Samasra Soft Inc - Tirupati, Andhra Pradesh, India","Data Scientist - Samasra Soft Inc - Tirupati, Andhra Pradesh, India"
2021-09-03,hrprofessionals.co.in,Data Scientist,"Bengaluru, Karnataka, India",1,1,163,"hrprofessionals.co.in - Bengaluru, Karnataka, India","Data Scientist - hrprofessionals.co.in - Bengaluru, Karnataka, India"
2021-09-28,ANAROCK,Anarock - Data Scientist,"Navi Mumbai, Maharashtra, India",1,1,1,"ANAROCK - Navi Mumbai, Maharashtra, India","Anarock - Data Scientist - ANAROCK - Navi Mumbai, Maharashtra, India"
2021-09-14,BlackBuck (Zinka Logistics Solutions Pvt. Ltd.),Data Scientist,"Bengaluru, Karnataka, India",1,1,163,"BlackBuck (Zinka Logistics Solutions Pvt. Ltd.) - Bengaluru, Karnataka, India","Data Scientist - BlackBuck (Zinka Logistics Solutions Pvt. Ltd.) - Bengaluru, Karnataka, India"
